,SYM_P1,SYM_P2,SYM_SEMICOLON,IDENTIFIER,OP_ASSGN,SYM_SB1,SYM_SB2,KEYWD_IF,SYM_B1,SYM_B2,KEYWD_ELSE,KEYWD_ELIF,KEYWD_FOR,KEYWD_IN,OP_COMMA,KEYWD_WHILE,KEYWD_DO,KEYWD_RETURN,KEYWD_BREAK,KEYWD_CONTINUE,KEYWD_SELECT,KEYWD_CASE,OP_TERN1,KEYWD_DEFAULT,KEYWD_DEF,OP_FUNC,KEYWD_INT,KEYWD_FLOAT,KEYWD_CHAR,KEYWD_BOOL,KEYWD_VOID,KEYWD_STRING,INT_LIT,FLOAT_LITERAL,CHAR_LIT,STR_LIT,KEYWD_TRUE,KEYWD_FALSE,OP_AR_add,OP_AR_sub,OP_AR_mul,OP_AR_div,OP_AR_mod,OP_REL_gt,OP_REL_ge,OP_REL_lt,OP_REL_le,OP_REL_eq,OP_REL_neq,OP_LOG_and,OP_LOG_or,OP_LOG_not,OP_BIT_and,OP_BIT_or,OP_BIT_ls,OP_BIT_rs,OP_BIT_xor,OP_ASSGN1,OP_ASSGN2,OP_ASSGN3,OP_ASSGN4,OP_ASSGN5,OP_ASSGN6,OP_ASSGN7,OP_ASSGN8,OP_INCR,OP_DECR,OP_BIT4,$,START,PROGRAM,STMTS,CODE_BLOCK,STMT,DECL,ASSIGNMENT,CONDITIONAL,ELIF,FOR,WHILE,DOWHILE,JUMP,SELECT,CASE_LIST,FUNCTION,ARG_LIST,FUNCTION_CALL,PARAM_LIST,TYPE,DIM,D_TYPE,EXPR,LIST,LITERAL,BOOL_LIT,BIN_OP,ARTM_OP,REL_OP,LOGCL_OP,BIT_OP,SHORT_OP,PREFIX
48,,r60,,,,,,,,,,,,,s79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,r37,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,82,,26,36,,,,,,,23
53,r68,,,r68,,,,,r68,,,,,,,,,,,,,,,,,,,,,,,,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,r69,,,r69,,,,,r69,,,,,,,,,,,,,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,r70,,,r70,,,,,r70,,,,,,,,,,,,,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,r71,,,r71,,,,,r71,,,,,,,,,,,,,,,,,,,,,,,,r71,r71,r71,r71,r71,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,r71,r71,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r72,,,r72,,,,,r72,,,,,,,,,,,,,,,,,,,,,,,,r72,r72,r72,r72,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r73,,,r73,,,,,r73,,,,,,,,,,,,,,,,,,,,,,,,r73,r73,r73,r73,r73,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,r73,r73,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,r74,,,r74,,,,,r74,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,r74,r74,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r75,,,r75,,,,,r75,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,r75,r75,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,r76,,,r76,,,,,r76,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,r76,r76,r76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,r77,,,r77,,,,,r77,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,,,,,,,,,,,,,,,,,,r77,r77,r77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,r78,,,r78,,,,,r78,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,r78,r78,r78,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,r78,r78,r78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,r79,,,r79,,,,,r79,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,r80,,,r80,,,,,r80,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,r80,r80,r80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r81,,,r81,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,r82,,,r82,,,,,r82,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,r82,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r83,,,r83,,,,,r83,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,r84,,,r84,,,,,r84,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,r84,r84,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,r84,r84,r84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r85,,,r85,,,,,r85,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,r85,r85,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,r86,,,r86,,,,,r86,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,r86,r86,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,r87,,,r87,,,,,r87,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,r87,r87,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,r88,,,r88,,,,,r88,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,r88,r88,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,r89,,,r89,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,r89,r89,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,r90,,,r90,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,r90,r90,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r58,r58,,,,r58,,,r58,,,,,r58,,,,,,,,r58,,,,,,,,,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,s27,,,s25,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,,,,,48,85,26,36,,,,,,,23
80,,,,,,,,,,,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,6,,,,,,,,,,,
81,,,,,,,,,,r38,,,,,,,,,,,,,,,,,s7,s8,s9,s10,s11,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,41,,6,,,,,,,,,,,
82,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,r39,r39,,,,r39,,,r39,,,,,r39,,,,,,,,r39,,,,,,,,,,,,,,,,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,s27,,,s25,,,,,s22,r41,,,,,,,,,,,,,,,,,,,,,,,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,,,,,,,,,,,,,,,,24,89,,,,77,,26,36,,,,,,,23
85,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,r53,r53,,,,r53,,,r53,,,,,r53,,,,,,,,r53,,,,,,,,,,,,,,,,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,s27,,,s102,,,,s103,s22,,,,s104,,,s105,s106,s107,s108,s109,s110,,,,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,91,,92,93,94,95,,96,97,98,99,100,,,,24,,4,,6,101,,26,36,,,,,,,23
91,,s111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,s27,r5,,s102,,,,s103,s22,,,,s104,,,s105,s106,s107,s108,s109,s110,r5,,r5,,,s7,s8,s9,s10,s11,s12,s33,s34,s35,s37,s38,s39,s31,s32,,,,,,,,,,,,,,,,,,,,,,,,,,s28,s29,s30,,,,112,,92,93,94,95,,96,97,98,99,100,,,,24,,4,,6,101,,26,36,,,,,,,23
93,r8,r8,,r8,,,,r8,r8,,,r8,r8,,,r8,r8,r8,r8,r8,r8,r8,,r8,,,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,r8,r8,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,r9,r9,,r9,,,,r9,r9,,,r9,r9,,,r9,r9,r9,r9,r9,r9,r9,,r9,,,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
